id,publication,archive
https://euvsdisinfo.eu/report/covid-19-epidemic-is-fake-it-is-manufactured-by-media/,https://youtube.com/watch?v=gNldn60DjlI&t=130,https://web.archive.orghttps://youtube.com/watch?v=gNldn60DjlI&t=130
https://euvsdisinfo.eu/report/in-ukraine-there-is-an-anti-human-propaganda-against-russians/,https://youtube.com/watch?v=R1Vp9lQyPm8&t=130,https://web.archive.orghttps://youtube.com/watch?v=R1Vp9lQyPm8&t=132
https://euvsdisinfo.eu/report/coronavirus-pandemic-is-exaggerated-in-order-to-turn-countries-into-fascist-hygiene-dictatorships/,https://de.sputniknews.com/gesellschaft/20200410326866829-corona-krise-medien-kritik-medizinjournalist/,https://web.archive.orghttps://de.sputniknews.com/gesellschaft/20200410326866829-corona-krise-medien-kritik-medizinjournalist/
https://euvsdisinfo.eu/report/us-prepares-marine-corps-deliver-blow-china/,https://mundo.sputniknews.com/defensa/202004101091075542-confrontacion-inevitable-eeuu-prepara-a-sus-marines-para-asestar-un-golpe-a-china/,https://web.archive.orghttps://mundo.sputniknews.com/defensa/202004101091075542-confrontacion-inevitable-eeuu-prepara-a-sus-marines-para-asestar-un-golpe-a-china/
https://euvsdisinfo.eu/report/us-brought-isis-when-al-qaeda-went-outside-the-script/,https://www.arabitoday.com/2020/04/%D9%85%D8%A7-%D9%87%D9%88-%D8%AE%D8%B7%D8%A3-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8-%D8%A7%D9%84%D8%B0%D9%8A-%D9%83%D9%84%D9%81%D9%87-%D8%A7%D9%84%D8%AE%D8%B3%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%AA%D8%A7%D8%B1/,https://web.archive.orghttps://www.arabitoday.com/2020/04/%D9%85%D8%A7-%D9%87%D9%88-%D8%AE%D8%B7%D8%A3-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8-%D8%A7%D9%84%D8%B0%D9%8A-%D9%83%D9%84%D9%81%D9%87-%D8%A7%D9%84%D8%AE%D8%B3%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%AA%D8%A7%D8%B1/
https://euvsdisinfo.eu/report/us-brought-isis-when-al-qaeda-went-outside-the-script/,https://www.alarabi.press/%D9%85%D8%A7-%D9%87%D9%88-%D8%AE%D8%B7%D8%A3-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8-%D8%A7%D9%84%D8%B0%D9%8A-%D9%83%D9%84%D9%81%D9%87-%D8%A7%D9%84%D8%AE%D8%B3%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%AA%D8%A7%D8%B1/,https://web.archive.orghttps://www.alarabi.press/%D9%85%D8%A7-%D9%87%D9%88-%D8%AE%D8%B7%D8%A3-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8-%D8%A7%D9%84%D8%B0%D9%8A-%D9%83%D9%84%D9%81%D9%87-%D8%A7%D9%84%D8%AE%D8%B3%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%AA%D8%A7%D8%B1/
https://euvsdisinfo.eu/report/us-brought-isis-when-al-qaeda-went-outside-the-script/,http://dzayerinfo.com/ar/%D8%AE%D8%B7%D8%A3-%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3-%D8%A7%D9%84%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8-%D8%A7%D9%84%D8%B0%D9%8A-%D9%83%D9%84%D9%81%D9%87-%D8%A7%D9%84/,https://web.archive.orghttp://dzayerinfo.com/ar/%D8%AE%D8%B7%D8%A3-%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3-%D8%A7%D9%84%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8-%D8%A7%D9%84%D8%B0%D9%8A-%D9%83%D9%84%D9%81%D9%87-%D8%A7%D9%84/
https://euvsdisinfo.eu/report/us-brought-isis-when-al-qaeda-went-outside-the-script/,https://www.arabawarenesspulse.com/6031/,https://web.archive.orghttps://www.arabawarenesspulse.com/6031/
https://euvsdisinfo.eu/report/us-brought-isis-when-al-qaeda-went-outside-the-script/,https://katehon.com/ar/article/m-hw-kht-trmb-ldhy-klfh-lkhsr-ltrykhy,https://web.archive.orghttps://katehon.com/ar/article/m-hw-kht-trmb-ldhy-klfh-lkhsr-ltrykhy
https://euvsdisinfo.eu/report/this-canadian-report-indict-the-us-with-spreading-coronavirus/,https://ar.rt.com/nmnv,https://web.archive.orghttps://ar.rt.com/nmnv
https://euvsdisinfo.eu/report/this-canadian-report-indict-the-us-with-spreading-coronavirus/,http://www.al-vefagh.com/News/279277.html,https://web.archive.orghttp://www.al-vefagh.com/News/279277.html
https://euvsdisinfo.eu/report/this-canadian-report-indict-the-us-with-spreading-coronavirus/,https://m.alwafd.news/%D9%85%D9%86%D9%88%D8%B9%D8%A7%D8%AA/%D8%B9%D8%A7%D9%84%D9%85%D9%80%D9%8A/2905278-%D8%AA%D9%82%D8%B1%D9%8A%D8%B1-%D8%B9%D8%B3%D9%83%D8%B1%D9%8A%D9%88%D9%86-%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A%D9%88%D9%86-%D8%B1%D8%A8%D9%85%D8%A7-%D9%86%D9%82%D9%84%D9%88%D8%A7-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7-%D8%A5%D9%84%D9%89-%D9%88%D9%88%D9%87%D8%A7%D9%86-%D8%A7%D9%84%D8%B5%D9%8A%D9%86%D9%8A%D8%A9,https://web.archive.orghttps://m.alwafd.news/%D9%85%D9%86%D9%88%D8%B9%D8%A7%D8%AA/%D8%B9%D8%A7%D9%84%D9%85%D9%80%D9%8A/2905278-%D8%AA%D9%82%D8%B1%D9%8A%D8%B1-%D8%B9%D8%B3%D9%83%D8%B1%D9%8A%D9%88%D9%86-%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A%D9%88%D9%86-%D8%B1%D8%A8%D9%85%D8%A7-%D9%86%D9%82%D9%84%D9%88%D8%A7-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7-%D8%A5%D9%84%D9%89-%D9%88%D9%88%D9%87%D8%A7%D9%86-%D8%A7%D9%84%D8%B5%D9%8A%D9%86%D9%8A%D8%A9
