id,link
https://euvsdisinfo.eu/report/european-diplomats-expelled-from-russia-deliberately-violated-russian-laws/,http://here
https://euvsdisinfo.eu/report/the-west-is-ready-for-a-vaccination-war/,https://www.ema.europa.eu/en/human-regulatory/marketing-authorisation]
https://euvsdisinfo.eu/report/the-west-is-ready-for-a-vaccination-war/,http://[https://www.ema.europa.eu/en/news/clarification-sputnik-v-vaccine-eu-approval-process
https://euvsdisinfo.eu/report/the-west-is-ready-for-a-vaccination-war/,http://[https:/euvsdisinfo.eu/report/oxford-vaccine-does-not-work-russian-is-more-efficent/
https://euvsdisinfo.eu/report/there-is-good-reason-to-think-bill-gates-invented-the-coronavirus/,http://microchipping of the population under the pretext of coronavirus
https://euvsdisinfo.eu/report/germany-and-japan-are-occupied-by-the-us/,http://Czechia is US’s puppet https://euvsdisinfo.eu/report/czechia-is-uss-puppet-removal-of-konevs-monument-was-sanctioned-by-washington/
https://euvsdisinfo.eu/report/navalny-could-have-poisoned-himself-with-with-village-moonshine/,http://FSB Team of Chemical Weapon Experts Implicated in Alexey Navalny Novichok Poisoning
https://euvsdisinfo.eu/report/the-real-international-community-recognised-congratulated-lukashenka-with-electoral-victory/,ttps://euvsdisinfo.eu/report/imperialistic-poland-and-lithuania-are-the-springboard-for-belarusian-maidan/
https://euvsdisinfo.eu/report/macron-government-tried-to-create-inter-religious-conflict-against-muslims-in-france/,https://euvsdisinfo.eu/report/britain-supports-the-muslim-brotherhood-and-uses-them-to-pressure-governments/ ]
https://euvsdisinfo.eu/report/soros-plunges-countries-into-chaos-and-anarchy/,https://www.opensocietyfoundations.org/who-we-are/our-history ]
https://euvsdisinfo.eu/report/west-creates-a-fifth-column-civil-society-directly-interferes-in-the-affairs-of-the-state/,https://www.jstor.org/stable/486532?seq=1 ]
https://euvsdisinfo.eu/report/lithuania-relies-on-new-chernobyl-to-replenish-its-state-budget/,"http://On 11 November, the Ministry of Foreign Affairs of Lithuania handed a diplomatic note to the Ministry of Foreign Affairs of Belarus over the official information about the incident that had occurred during the commissioning of the Belarusian nuclear power plant (on the Ostrovets site)."
https://euvsdisinfo.eu/report/the-us-wants-to-convert-belarus-into-a-zone-of-instability-and-make-it-an-anti-russian-puppet/,ttps://euvsdisinfo.eu/report/imperialistic-poland-and-lithuania-are-the-springboard-for-belarusian-maidan/
https://euvsdisinfo.eu/report/coe-and-eu-has-never-bear-christian-moral-values-but-the-values-%e2%80%8b%e2%80%8bof-satan/,ishttps://euvsdisinfo.eu/disinformation-cases/?disinfo_keywords[]=77460&date=&per_page=
https://euvsdisinfo.eu/report/ukraine-poland-and-lithuania-is-a-anti-belarusian-ram-they-wish-make-belarus-anti-russian/,ttps://euvsdisinfo.eu/report/imperialistic-poland-and-lithuania-are-the-springboard-for-belarusian-maidan/
https://euvsdisinfo.eu/report/documentaries-about-russia-are-almost-russophobes-they-dont-mention-important-facts-about-ukraine-and-crimea/,"http://The disinformation claim appeared in the same video clip, as the allegation tha"
https://euvsdisinfo.eu/report/the-belarusian-protests-are-managed-from-ukraine-and-nato-countries-bernard-henri-levy-is-also-involved/,ttps://euvsdisinfo.eu/report/imperialistic-poland-and-lithuania-are-the-springboard-for-belarusian-maidan/
https://euvsdisinfo.eu/report/following-us-orders-germany-disguised-navalnys-blood-sugar-fall-as-the-action-of-a-nerve-agent/,https:/euvsdisinfo.eu/pro-kremlin-disinformation-desperation-mh17-and-wwii/
https://euvsdisinfo.eu/report/eu-has-suffered-more-from-the-sanctions-imposed-on-russia/,http://Alexei Navalny
https://euvsdisinfo.eu/report/there-are-many-scenarios-for-what-happened-to-alexei-navalny-but-an-assassination-attempt-ordered-by-the-kremlin-is-the-most-improbable/,http://political-scandal-in-austria-was-a-cia-operation-to-stop-the-construction-of-nordstream-2/
https://euvsdisinfo.eu/report/eruo-atlantic-interests-to-use-navalnys-case/,about:blank
https://euvsdisinfo.eu/report/the-poisoning-of-navalny-is-likely-a-project-for-self-promoting/,http://political-scandal-in-austria-was-a-cia-operation-to-stop-the-construction-of-nordstream-2/
https://euvsdisinfo.eu/report/germany-trains-russian-and-european-journalists-to-create-fakes-and-political-provocations-about-russia/,"The%20international%20forum%20brings%20together%20Europe%60s%20top%20editors,%20commentators%20and%20media%20owners%20(print,%20broadcasting%20and%20internet)%20alongside%20key%20public%20figures%20to%20assess%20the%20role%20and%20impact%20of%20the%20media%20in%20international%20affairs%20and%20to%20promote%20democracy%20and%20freedom%20of%20expression%20and%20speech.%20As%20a%20modern-day%20East-West%20bridge-builder,%20the%20Colloquium%20fosters%20media%20relations%20and%20not%20only%20exposes%20differences%20but%20also%20common%20ground%20in%20the%20challenges%20faced%20by%20media%20from%20different%20cultures%20and%20regions."
https://euvsdisinfo.eu/report/the-eu-addresses-the-issue-of-navalny-poisoning-relying-on-some-groundless-declarations-of-navalny-who-tries-to-promote-himself/,http://political-scandal-in-austria-was-a-cia-operation-to-stop-the-construction-of-nordstream-2/
https://euvsdisinfo.eu/report/german-statement-about-navalny-poisoning-is-the-western-reaction-to-the-situation-around-nord-stream-2-and-the-putins-position-towards-belarus/,http://political-scandal-in-austria-was-a-cia-operation-to-stop-the-construction-of-nordstream-2/
https://euvsdisinfo.eu/report/us-hopes-that-the-navalny-case-will-lead-to-the-cancellation-of-nord-stream-2/,http://political-scandal-in-austria-was-a-cia-operation-to-stop-the-construction-of-nordstream-2/
https://euvsdisinfo.eu/report/russia-segodnya-and-rt-are-different-why-the-ban/,about:blank
