date,id,title,countries,keywords,languages,outlets
2020-09-21,https://euvsdisinfo.eu/report/polish-controlled-belarus-opposition-leaks-data-of-police-officers-in-attempt-to-threaten-them/,"Polish controlled ""Belarus opposition"" leaks data of Police officers in attempt to threaten them",Belarus+Poland,Police+Protest,English,
2020-09-21,https://euvsdisinfo.eu/report/if-not-poland-an-outpost-of-the-us-in-the-eu-the-belarusian-issue-would-be-in-10th-place-for-europe/,Europe wouldn't bother about Belarus if Poland wasn't an outpost of the US,Lithuania+Belarus+Poland,Protest+US presence in Europe+Puppets,Russian,
2020-09-21,https://euvsdisinfo.eu/report/denmark-opened-brothels-for-zoophiles/,Denmark opened brothels for zoophiles,Italy+Denmark+Germany,Western values,Russian,
2020-09-20,https://euvsdisinfo.eu/report/russia-avangard-missile-system-devastate-us-defences-national-interest-says/,"Russia’s Avangard missile system can devastate US defences, The National Interest says",China+Russia+US,Mainstream media+Media,Spanish+Castilian,
2020-09-18,https://euvsdisinfo.eu/report/western-attacks-on-the-russian-coronavirus-vaccine-are-a-corporate-cold-war-against-humanity/,Western attacks on the Russian coronavirus vaccine are a corporate cold war against humanity,Russia,coronavirus+vaccination+The West,Spanish+Castilian,
2020-09-18,https://euvsdisinfo.eu/report/the-anti-missile-system-in-romania-can-also-become-offensive/,The anti-missile system in Romania can also become offensive,Romania+Russia+US+Poland,INF Treaty+Sergei Lavrov+Missile defence system,Russian,
2020-09-18,https://euvsdisinfo.eu/report/labs-could-not-prove-that-novichok-was-involved-because-they-dont-have-any-sample/,Labs could not prove that Novichok was involved because they don't have any sample,Russia+Germany+Sweden+France,novichok+Chemical weapons/attack+Alexei Navalny,English+French,
2020-09-18,https://euvsdisinfo.eu/report/navalny-incident-is-us-plot-to-disrupt-nord-stream-2/,Navalny incident is a US plot to disrupt Nord Stream 2,Russia+US+Germany,novichok+Nord Stream 2+Chemical weapons/attack+Alexei Navalny+US presence in Europe+Conspiracy,Russian,
2020-09-17,https://euvsdisinfo.eu/report/getting-out-of-the-coma-proves-that-novichok-wasnt-used-on-navalny/,Getting out of coma proves that Novichok wasn’t used on Navalny,Russia+Germany,novichok+Chemical weapons/attack+Alexei Navalny,Arabic+English,
2020-09-17,https://euvsdisinfo.eu/report/the-west-destabilises-belarus-to-destroy-russian-civilisation-an-alternative-route-of-human-development/,"The West destabilises Belarus to destroy Russian civilisation, an alternative route of human development",Libya+Serbia+Russia+Ukraine+Lithuania+Belarus+US+Poland,Anti-Russian+Russian superiority+Alexander Lukashenko+Colour revolutions+Conspiracy+Russian world,Russian,
2020-09-17,https://euvsdisinfo.eu/report/september-17-1939-did-not-change-the-course-of-the-war-for-poland-in-a-significant-way/,"September 17, 1939, did not change the course of the war for Poland in a significant way",Russia+Poland,Molotov-Ribbentrop Pact+USSR+Red Army+Historical revisionism+WWII+Nazi/Fascist,Polish,
2020-09-16,https://euvsdisinfo.eu/report/west-deliberately-provokes-protests-in-belarus-through-sanctions/,West deliberately provokes protests in Belarus through sanctions,EU+Belarus+US,European Commission+Protest+Alexander Lukashenko+Sanctions,Russian,
2020-09-16,https://euvsdisinfo.eu/report/svetlana-tikhanovskaya-and-the-west-force-the-people-to-go-on-the-streets-against-their-will-just-like-dictators/,Svetlana Tikhanovskaya and the West force the people to go on the streets,EU+US,West+Protest+Dictatorship+The West,Russian,
2020-09-16,https://euvsdisinfo.eu/report/navalny-was-not-poisoned-it-was-his-chronic-diseases-that-worsened/,"Navalny was not poisoned, it was his chronic diseases that worsened",EU+Russia,novichok+Chemical weapons/attack+Alexei Navalny,Russian,
2020-09-16,https://euvsdisinfo.eu/report/the-process-of-demoralizing-perverting-and-defiling-teenagers-in-armenia-has-already-started/,"The process of demoralising, perverting and defiling teenagers in Armenia has already started",Armenia,Western values+Conspiracy+Perversion+LGBT,Armenian,
2020-09-16,https://euvsdisinfo.eu/report/swedes-will-be-deported-from-sweden/,Swedes will be deported from Sweden,Sweden,migration,Russian+English,
2020-09-16,https://euvsdisinfo.eu/report/us-forced-merkel-lie-about-navalnys-poisoning/,US forced Merkel lie about Navalny's poisoning,Russia+US+Germany,Conspiracy theory+Chemical weapons/attack+Alexei Navalny+US presence in Europe+Russophobia+Angela Merkel,Russian,
2020-09-16,https://euvsdisinfo.eu/report/ukraine-has-been-barbarically-plundering-crimea-for-23-years/,Ukraine has been barbarically plundering Crimea for 23 years,Ukraine,Ukraine+USSR+Crimea,Russian,
2020-09-16,https://euvsdisinfo.eu/report/a-clear-western-impact-is-seen-on-the-colour-revolution-of-belarus/,Western involvement is clearly seen on the colour revolution of Belarus,Russia+Belarus+US,West+Protest+Colour revolutions+Coup+The West,Arabic,
2020-09-16,https://euvsdisinfo.eu/report/the-united-states-organised-the-protests-in-belarus/,The United States organised the protests in Belarus,Russia+Belarus+US,Protest+Anti-Russian+Manipulated elections/referendum+Colour revolutions+The West+Foreign mercenaries,German,
2020-09-16,https://euvsdisinfo.eu/report/germany-will-silence-alexei-navalny/,Navalny himself does not believe the story of Russian authorities' responsibility for his poisoning,Russia+Germany,novichok+Alexei Navalny,Russian+Romanian,
